Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Game.Level,Level {0},Level {0},第{0}关,第{0}關,レベル {0},레벨 {0},Livello {0},Nivel {0},Niveau {0},Level {0},Màn chơi {0},Nível {0},Level {0},المستوى{0},நிலை {0},Уровень {0},ระดับ {0},Niveau {0},लेवल {0},Seviye {0}
Game.Congratulations,Well Done,Kerja Bagus,做得好！,做得好！,よくやった,잘 했어요,Ben Fatto,Bien hecho,Bien joué,Gut gemacht,Làm tốt lắm,Muito bem,Magaling,أحسنت,நல்ல வேலை,Хорошо сделано,ทำได้ดีมาก,Goed gedaan,बहुत बढ़िया,Aferin
Game.NoMore,No space left,Tidak ada ruang lagi,没有更多步骤了,沒有更多步驟了,これ以上動けません,공간이 다 찼어요,Nessuna Mossa Disponibile,No queda espacio,Plus de place,Kein Platz mehr,Hết Nước Đi,Não há mais espaço,Wala nang espasyo,لم يتبق مكان,இனி நகர்வுகள் இல்லை,Нет места,ไม่มีพื้นที่เหลือ,Geen ruimte meer,जगह नहीं बची,Yer kalmadı
Game.TimeOut,Timeout,Waktu habis,时间到,時間到,タイムアウト,시간 초과,Tempo Scaduto,Tiempo agotado,Temps écoulé,Zeitüberschreitung,Hết Giờ,Tempo esgotado,Wala na ang oras,انتهى الوقت,நேரம் முடிந்தது,Время вышло,หมดเวลา,Tijd verstreken,समय समाप्त,Zaman doldu
Game.Lose,You lose,Kamu kalah,你输了哟,你輸了喲,あなたの負けです,패배,Hai Perso,Has perdido,Vous avez perdu,Du hast verloren,Bạn Đã Thua,Você perdeu,Talo ka,خسرت,நீங்கள் தோற்றீர்கள்,Вы проиграли,คุณแพ้,Je verliest,आप हार गए,Kaybettin
Game.Failed,Failed,Gagal,失败,失敗,失敗,실패,Fallito,Fallido,Échoué,Gescheitert,Thua,Falha,Nabigo,فشلت,தோல்வி,Неудача,ล้มเหลว,Mislukt,विफल,Başarısız
Game.Victory,Victory,Kemenangan,胜利,勝利,勝利,승리,Vittoria,Victoria,Victoire,Sieg,Chiến Thắng,Vitória,Panalo,انتصرت,வெற்றி,Победа,ชัยชนะ,Overwinning,जीत,Zafer
Game.Active,Active,Aktif,在线,在線,アクティブ,진행 중,Attivo,Activo,Actif,Aktiv,Đang hoạt động,Ativo,Aktibo,نشط,செயலில் உள்ளது,Активный,กระตือรือร้น,Actief,सक्रिय,Aktif
Game.VictoryText,You're Amazing!,Kamu hebat!,你太棒了！,你太棒了！,すごい！,대단해요!,Sei Fantastico!,¡Eres increíble!,Vous êtes incroyable !,Du bist großartig!,Bạn thật tuyệt vời!,Você é incrível!,Ang galing mo!,أنت رائع!,நீங்கள் அற்புதம்!,Вы потрясающие!,คุณสุดยอดมาก!,Je bent geweldig!,आप कमाल हैं!,Harikasın!
Game.SkipAds,"No, thanks","Tidak, terima kasih",不，谢谢,不，謝謝,いいえ、結構です,"아니요, 고마워요","No, grazie","No, gracias","Non, merci","Nein, danke","Không, cảm ơn","Não, obrigado","Hindi, salamat",لا، شكراً,"வேண்டாம், நன்றி","Нет, спасибо",ไม่ ขอบคุณ,"Nee, bedankt","नहीं, धन्यवाद","Hayır, teşekkürler"
Game.HardLevel,Hard Level,Level Sulit,更難了呢,更難了呢,高難度,어려운 레벨,Livello Difficile,Nivel difícil,Niveau difficile,Schwieriger Level,Cấp độ Khó,Nível difícil,Mahirap na Antas,مستوى صعب,கடின நிலை,Сложный уровень,ระดับยาก,Moeilijk Niveau,कठिन स्तर,Zor Seviye
Game.Settings,Settings,Pengaturan,设置,設定,設定,설정,Impostazioni,Configuración,Paramètres,Einstellungen,Cài đặt,Configurações,Mga Setting,الإعدادات,கடின நிலை,Настройки,การตั้งค่า,Instellingen,कठिन स्तर,Ayarlar
Game.Pause,Pause,Jeda,暂停,暫停,ポーズ,일시 정지,Pausa,Pausa,Pause,Pause,Tạm dừng,Pausar,Pahinga,إيقاف مؤقت,இடைநிறுத்தம்,Пауза,หยุดชั่วคราว,Pauze,विराम,Duraklat
Game.Claim,Claim,Klaim,领取,領取,受け取る,클레임,Riscatta,Reclamación,Réclamer,Einlösen,Nhận,Resgatar,I-claim,استلام,பெறவும்,Претензия,รับ,Claim,प्राप्त करें,Talep et
Game.Complete,COMPLETE,Selesai,结束,結束,コンプリート,완료,COMPLETO,COMPLETAR,Terminer,Abgeschlossen,HOÀN THÀNH,Resgatar,Kumpleto,مكتمل,முடிந்தது,Завершить,เสร็จสิ้น,VOLTOOIEN,पूर्ण,Tamamla
Game.Shop,SHOP,Toko,商店,商店,ショップ,쇼핑,NEGOZIO,COMPRAR,Magasin,Shop,CỬA HÀNG,loja,Tindahan,متجر,கடை,Магазин,ร้านค้า,WINKEL,दुकान,Mağaza
Game.Share,SHARE,Bagikan,分享,分享,シェア,공유,CONDIVIDI,COMPARTIR,Partager,Teilen,CHIA SẺ,Compartilhar,Ibahagi,مشاركة,பகிரவும்,Поделиться,แชร์,DELEN,साझा करें,Paylaş
Game.Next,NEXT LEVEL,Berikutnya,下一关,下一關,ネクストレベル,다음 단계,LIVELLO SUCCESSIVO,SIGUIENTE NIVEL,Niveau suivant,Nächstes Level,CẤP ĐỘ TIẾP THEO,Próximo nível,Agla star,المستوى التالي,அடுத்த நிலை,Следующий уровень,ด่านถัดไป,VOLGENDE NIVEAU,अगला स्तर,Sonraki Seviye
Game.ShareDescription,Download Super Bolts Puzzle on Google Play,Unduh Super Bolts Puzzle di Google Play,在Google Play下载螺丝拼拼乐,在Google Play下載丝拼拼乐,Google Playで「Super Bolts Puzzle」をダウンロード,Google Play에서 Super Bolts Puzzle 다운로드,Scarica Super Bolts Puzzle su Google Play,Descarga Super Bolts Puzzle en Google Play,Téléchargez Super Bolts Puzzle sur Google Play,Lade Super Bolts Puzzle im Google Play Store herunter,Tải Super Bolts Puzzle trên Google Play,Baixe o Super Bolts Puzzle no Google Play,I-download ang Super Bolts Puzzle sa Google Play,حمّل لعبة Super Bolts Puzzle على Google Play,Google Play-ல் Super Bolts Puzzle பதிவிறக்கவும்,Скачайте Super Bolts Puzzle в Google Play,ดาวน์โหลด Super Bolts Puzzle บน Google Play,Download Super Bolts Puzzle op Google Play,गूगल प्ले पर Super Bolts Puzzle डाउनलोड करें,Super Bolts Puzzle'ı Google Play'den indirin
Game.AddHole,Get more space with add hole,Dapatkan lebih banyak ruang dengan menambah lubang,通过添加洞来获得更多空间,通過添加洞來獲得更多空間,追加穴でスペースを増やす,추가 구멍으로 더 많은 공간 확보,Ottieni più spazio con Aggiungi Foro,Agujeros adicionales para más espacio,Obtenez plus d'espace en ajoutant un trou,Zusätzliche Löcher für mehr Platz,Tăng thêm không gian bằng cách thêm lỗ,Orifícios adicionais para mais espaço,Magdagdag ng butas para makakuha ng mas maraming space,ثقوب إضافية لمساحة أكبر,துளை சேர்த்தால் கூடுதல் இடம் கிடைக்கும்,"Получите больше места, добавив отверстие",เพิ่มช่องว่างโดยการเพิ่มรู,Krijg meer ruimte met een extra gat,छेद जोड़कर अधिक जगह प्राप्त करें,Delik ekleyerek daha fazla alan kazanın
Game.Skills,You can use {0} skill,Anda dapat menggunakan keterampilan {0},您可以使用{0}技能,您可以使用{0}技能,{0}スキルを使用できます,{0} 스킬을 사용할 수 있습니다.,Puoi usare l’abilità {0},Puedes usar la habilidad {0}.,Vous pouvez utiliser la compétence {0},Sie können die Fertigkeit {0} verwenden.,Bạn có thể dùng kỹ năng {0},Pode usar a habilidade {0},Maaari mong gamitin ang {0} na skill,يمكنك استخدام مهارة {0},நீங்கள் {0} திறனைப் பயன்படுத்தலாம்,Вы можете использовать навык {0},คุณสามารถใช้สกิล {0} ได้,Je kunt de vaardigheid {0} gebruiken,आप {0} कौशल का उपयोग कर सकते हैं,{0} becerisini kullanabilirsiniz
Game.OutOfSkill,Out of skill. Watch an ad to get skills,Keterampilan habis. Tonton iklan untuk mendapatkan keterampilan,技能用完了。观看广告以获得技能,技能用完了。觀看廣告以獲得技能,スキルがなくなりました。広告を見てスキルをゲット！,스킬이 부족합니다. 스킬을 얻으려면 광고를 시청하세요.,Esaurimento abilità. Guarda un pubblicità per ottenere abilità,Sin habilidades. Mira un anuncio para conseguir habilidades.,Plus de compétences. Regardez une publicité pour obtenir des compétences,"Keine Fähigkeiten vorhanden. Sehen Sie sich eine Anzeige an, um Fähigkeiten zu erhalten.",Hết kỹ năng rồi. Xem quảng cáo để nhận kỹ năng,Sem habilidade. Assista a um anúncio para obter habilidades,Wala ka nang skill. Manood ng ad para makakuha pa.,نقص المهارة. شاهد إعلانًا للحصول على المهارات,திறமைக்கு வெளியே. திறன்களைப் பெற விளம்பரத்தைப் பாருங்கள்,"Навыки закончились. Посмотрите рекламу, чтобы получить навыки",สกิลหมดแล้ว ดูโฆษณาเพื่อรับเพิ่ม,Je hebt geen vaardigheden meer. Bekijk een advertentie om vaardigheden te krijgen.,कौशल समाप्त हो गए हैं। नया कौशल पाने के लिए विज्ञापन देखें।,Beceri bitti. Beceri almak için reklam izleyin
Game.TimeOutFreeze,Time’s running out. Use Freeze now.,Waktu hampir habis. Gunakan Freeze sekarang.,时间快要用完了。现在使用冻结技能。,時間快要用完了。現在使用凍結技能。,時間がなくなる！今すぐフリーズを使おう！,시간이 얼마 남지 않았습니다. 지금 바로 프리즈를 사용하세요.,Il tempo sta per scadere. Usa Ghiaccio ora.,El tiempo se acaba. Usa Freeze ahora.,Le temps est presque écoulé. Utilisez Freeze maintenant.,Die Zeit läuft ab. Verwenden Sie jetzt „Freeze“.,Thời gian sắp hết rồi. Sử dụng Đóng băng ngay bây giờ.,O tempo está a esgotar-se. Use o Freeze agora.,Ubus na ang oras! Gamitin mo na ang Freeze.,الوقت ينفد. استخدم Freeze الآن.,நேரம் முடிந்து வருகிறது. இப்போது Freeze பயன்படுத்துங்கள்.,Время почти вышло. Используйте заморозку сейчас.,เวลาใกล้หมดแล้ว ใช้ Freeze ตอนนี้เลย!,De tijd raakt op. Gebruik nu Bevriezen.,समय खत्म हो रहा है। अभी Freeze का उपयोग करें।,Zaman bitmek üzere. Şimdi Freeze kullanın.
Game.OutOfFreeze,You’re out of Freeze. Watch an ad to get it.,Anda kehabisan Freeze. Tonton iklan untuk mendapatkannya.,您没有冻结技能了。观看广告以获得它。,您沒有凍結技能了。觀看廣告以獲得它,フリーズがなくなる。 広告を見て入手！,프리즈 사용 시간이 다 되었어요. 광고를 시청하면 다시 이용할 수 있습니다.,Niente più Ghiaccio!. Guarda un annuncio pubblicitario per ottenerlo.,Se te ha acabado Freeze. Mira un anuncio para conseguirlo.,Vous n'avez plus de Freeze. Regardez une publicité pour l'obtenir.,"Ihr habt kein Freeze mehr. Seht euch eine Werbung an, um es zu erhalten.",Bạn đã hết Đóng băng. Xem quảng cáo để nhận lại.,O seu Freeze acabou. Assista a um anúncio para obtê-lo.,Wala ka nang Freeze. Manood ng ad para makakuha nito.,لقد نفد رصيدك من Freeze. شاهد إعلانًا للحصول عليه.,நேரம் முடிவடைகிறது; Freeze ஐ இப்போது பயன்படுத்துங்கள்.,"У вас нет заморозки. Посмотрите рекламу, чтобы получить её.",หมดแล้ว ดูโฆษณาเพื่อรับเพิ่ม,Je hebt geen Bevriezen meer. Bekijk een advertentie om het te krijgen.,Freeze समाप्त हो गया है। इसे पाने के लिए विज्ञापन देखें।,Freeze bitti. Almak için reklam izleyin.
Game.RetryCurrentLevel,Retry Current Level,Coba Ulang Level Saat Ini,重试当前关卡,重試當前關卡,現在のレベルを再試行,현재 레벨 다시 시도,Riprova Livello Attuale,Reintentar Nivel Actual,Réessayer le niveau actuel,Aktuelles Level wiederholen,Thử lại cấp độ hiện tại,Repetir Nível Atual,Ulitin ang Kasalukuyang Antas,حاول إعادة المستوى الحالي,தற்போதைய நிலையை மீண்டும் முயற்சி செய்,Повторить текущий уровень,เล่นด่านนี้อีกครั้ง,Huidig niveau opnieuw proberen,वर्तमान स्तर दोबारा खेलें,Mevcut seviyeyi yeniden dene
Game.Home,Home,Beranda,主页,主頁,ホーム,홈,Home,Inicio,Accueil,Startseite,Trang chủ,Início,Home,بلكون,முகப்பு,Главная,หน้าแรก,Home,होम,Ana sayfa
Game.RetryOK,Ok,Oke,好的,好的,はい,확인,Ok,OK,D’accord,OK,Ok,OK,OK,حسنا,சரி,Хорошо,ตกลง,Ok,ठीक है,Tamam
Game.RetryDescription,Do you want to retry from Stage 1?,Apakah kamu ingin mengulang dari stage 1?,你想从第 1 阶段重新开始吗？,你想從第 1 階段重新開始嗎？,ステージ1から再試行しますか？,1스테이지부터 다시 하시겠습니까?,Vuoi riprovare dalla Fase 1?,¿Quieres reiniciar desde la Etapa 1?,Voulez-vous recommencer depuis l’étape 1 ?,Möchtest du ab Stufe 1 neu beginnen?,Bạn có muốn thử lại từ Giai đoạn 1 không?,Deseja tentar novamente a partir da Fase 1?,Gusto mo bang magsimula muli mula sa Yugto 1?,هل تريد أن تعيد من المرحلة الأولى؟,நிலை 1 இலிருந்து மீண்டும் தொடங்க விரும்புகிறீர்களா?,Вы хотите начать заново с этапа 1?,ต้องการเริ่มใหม่จากด่าน 1 หรือไม่?,Wilt u opnieuw beginnen vanaf fase 1?,क्या आप चरण 1 से फिर से खेलना चाहते हैं?,1 aşamadan yeniden başlamak ister misin?
Game.RetryCurrentDesc,Retry from Stage {0}?,Coba ulang dari stage {0}?,从第 {0} 阶段重新开始吗？,從第 {0} 階段重新開始嗎？,ステージ {0} から再試行しますか？,스테이지 {0}부터 다시 하시겠습니까?,Riprovare dalla fase {0}?,¿Reintentar desde la Etapa {0}?,Réessayer depuis l’étape {0} ?,Wiederholen ab Stufe {0}?,Thử lại từ Giai đoạn {0}?,Repetir a partir da Fase {0}?,Ulitin mula sa Yugto {0}?,حاول أن تعيد من المرحلة ‎{0}‎؟,நிலை {0} இலிருந்து மீண்டும் முயற்சி செய்யவா?,Повторить с этапа {0}?,เล่นใหม่จากด่าน {0}?,Opnieuw proberen vanaf fase {0}?,चरण {0} से फिर से खेलें?,{0} Aşamasından tekrar denensin mi?
Game.RetryCurrentAds,ads,Iklan,广告,廣告,広告,광고,pubblicità,Anuncios,Publicité,Werbung,Quảng cáo,Anúncios,Ads,إعلان,விளம்பரம்,Реклама,โฆษณา,advertenties,विज्ञापन,Reklam
Game.WinExit,Exit,Keluar,退出,退出,終了,종료,Uscita,Salir,Quitter,Beenden,Thoát,Sair,Lumabas,خروج,வெளியேறு,Выход,ออก,Afslag,बाहर निकलें,Çıkış
Game.WinExitDescription,Do you want to go back to the main menu?,Apakah kamu ingin kembali ke menu utama?,你想回到主菜单吗？,你想回到主選單嗎？,メインメニューに戻りますか？,메인 메뉴로 돌아가시겠습니까?,Vuoi tornare al menu principale?,¿Quieres volver al menú principal?,Voulez-vous revenir au menu principal ?,Möchtest du zum Hauptmenü zurückkehren?,Bạn có muốn quay lại menu chính không?,Deseja voltar ao menu principal?,Gusto mo bang bumalik sa main menu?,هل تريد العودة إلى القائمة الرئيسية؟,முதன்மை பட்டியலுக்கு திரும்ப வேண்டுமா?,Вы хотите вернуться в главное меню?,ต้องการกลับไปที่เมนูหลักหรือไม่?,Wilt u terug naar het hoofdmenu?,क्या आप मुख्य मेनू पर वापस जाना चाहते हैं?,Ana menüye dönmek ister misin?
Game.WinExitOk,OK,OKE,好的,好的,はい,확인,OK,OK,D’accord,OK,OK,OK,OK,حسنا,சரி,Хорошо,ตกลง,OK,ठीक है,Tamam
Game.WinExitNo,NO ,TIDAK,不要,不要,いいえ,아니요,NO ,No,Non,Nein,KHÔNG ,Não,Hindi,لا,இல்லை,Нет,ไม่,NEE ,नहीं,Hayır
