Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Shop.Special,Special Offer,Penawaran Spesial,特别优惠,特別優惠,特別オファー,스페셜 오퍼,Offerta Speciale,Oferta Especial,Offre Spéciale,Sonderangebot,Ưu đãi đặc biệt,Oferta Especial,Espesyal na Alok,عرض خاص,சிறப்பு சலுகைகள்,Специальное предложение,ข้อเสนอพิเศษ,Speciale Aanbieding,स्पेशल ऑफर,Özel Teklif
Shop.Ticket,Ticket,Tiket,票,票,チケット,티켓,Biglietto,Boleto,Billet,Ticket,Vé,Bilhete,Tiket,تذكرة,டிக்கெட்,Билет,ตั๋ว,Ticket,टिकट,Bilet
Shop.Coin,Coin,Koin,硬币,硬幣,コイン,코인,Moneta,Moneda,Pièce,Münze,Xu,Moeda,Barya,عملة,நாணயம்,Монета,เหรียญ,Munt,सिक्का,Madeni Para
Shop.Head,Head skin,Skin Kepala,头部皮肤,頭部皮膚,ヘッドスキン,머리 스킨,Skin per la Testa,Skin de Cabeza,Peau de tête,Kopfskin,Skin Đầu,Skin de Cabeça,Skin sa Ulo,,,Кожа головы,หนังศีรษะ,,,Baş Derisi
Shop.Body,Body skin,Skin Tubuh,身体皮肤,身體皮膚,ボディスキン,바디 스킨,Skin per il Corpo,Skin de Cuerpo,Peau de corps,Körperskin,Skin Cơ Thể,Skin de Corpo,Skin sa Katawan,,,Кожа тела,ผิวหนังร่างกาย,,,Vücut Derisi
Shop.Gem,Gem,Permata,宝石,寶石,ジェム,보석,Gemma,Gema,Gemmes,Edelstein,Ngọc,Gema,Hiyas,جوهرة,ரத்தினம்,Драгоценный камень,อัญมณี,Edelsteen,रत्न,Zümrüt
Shop.StarterPack,Starter Pack,Paket Pemula,入门套餐,入門套餐,スターターパック,스타터 팩,Pacchetto Iniziale,Paquete Inicial,Pack Débutant,Starter-Paket,Gói khởi đầu,Pacote Inicial,Starter Pack,حزمة البداية,ஸ்டார்டர் தொகுப்பு,Стартовый пакет,ชุดเริ่มต้น,Startpakket,स्टार्टर पैक,Başlangıç Paketi
Shop.WelcomePack,Welcome Pack,Paket Selamat Datang,欢迎套餐,歡迎套餐,ウェルカムパック,웰컴 팩,Pacchetto Benvenuto,Paquete de Bienvenida,Pack de Bienvenue,Willkommenspaket,Gói chào mừng,Pacote de Boas-Vindas,Welcome Pack,حزمة الترحيب,வரவேற்பு தொகுப்பு,Приветственный пакет,ชุดต้อนรับ,Welkomstpakket,वेलकम पैक,Hoşgeldin Paketi
Shop.ClassicPack,Classic Pack,Paket Klasik,经典套餐,經典套餐,クラシックパック,클래식 팩,Pacchetto Classico,Paquete Clásico,Pack Classique,Klassik-Paket,Gói cổ điển,Pacote Clássico,Classic Pack,الحزمة الكلاسيكية,உன்னதமான தொகுப்பு,Классический пакет,ชุดคลาสสิก,Klassiek Pakket,क्लासिक पैक,Klasik Paket
Shop.DeluxePack,Deluxe Pack,Paket Deluxe,豪华套餐,豪華套餐,デラックスパック,디럭스 팩,Pacchetto Deluxe,Paquete Deluxe,Pack Deluxe,Deluxe-Paket,Gói cao cấp,Pacote Deluxe,Deluxe Pack,الحزمة الفاخرة,டீலக்ஸ் தொகுப்பு,Делюкс пакет,ชุดดีลักซ์,Deluxe Pakket,डीलक्स पैक,Deluxe Paket
