,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Setting.MainMenu,Settings,Pengaturan,设置,設定,設定,설정,Impostazioni,Configuración,Paramètres,Einstellungen,Cài đặt,Configurações,Mga Setting,الإعدادات,அமைப்புகள்,Настройки,การตั้งค่า,Instellingen,विन्यास,Ayarlar
xSetting.On,On,Nyala,开,開,オン,켜짐,Attivo,Activado,Activé,Ein,Bật,Ligado,Naka-on,تشغيل,இயக்கு,Включено,เปิด,Op,चालू,Açık
xSetting.Off,Off,Mati,关,關,オフ,꺼짐,Disattivo,Desactivado,Désactivé,Aus,Tắt,Desligado,Naka-off,إيقاف,அணை,Отключено,ปิด,Uit,चालू,Kapalı
xSetting.Music,Music,Musik,音乐,音樂,音楽,음악,Musica,Música,Musique,Musik,Âm nhạc,Música,Musika,الموسيقى,இசை,Музыка,ดนตรี,Muziek,संगीत,Müzik
xSetting.Sound,Sound,Suara,声音,聲音,音,사운드,Audio,Sonido,Son,Ton,Âm thanh,Som,Tunog,الصوت,ஒலி,Звук,เสียง,Geluid,ध्वनि,Ses
xSetting.Vibration,Vibration,Getar,振动,振動,バイブレーション,진동,Vibrazione,Vibración,Vibration,Vibration,Rung,Vibração,Pagyanig,الاهتزاز,அதிர்வு,Вибрация,การสั่นสะเทือน,Trilling,कंपन,Titreşim
xSetting.VFX,VFX,Efek Visual,视觉特效,視覺特效,エフェクト,효과,Effetti Visivi,Efectos Visuales,Effets visuels,Effekte,VFX,Efeitos Visuais,VFX,مؤثرات بصرية,காட்சி விளைவுகள்,Визуальные эффекты,วิชวลเอฟเฟกต์,VFX,दृश्य प्रभाव,Görsel Efektler
xSetting.Ingame,Pause,Jeda,暂停,暫停,ポーズ,일시정지,Pausa,Pausa,Pause,Pause,Tạm dừng,Pausar,I-pause,إيقاف مؤقت,இடைநிறுத்தம்,Пауза,หยุดชั่วคราว,Pauze,विराम,Duraklat
xSettiing.Language,English,Bahasa Indonesia,简体中文,繁體中文,日本語,한국어,Italiano,Español,Anglais,Deutsch,Tiếng Việt,Português,Filipino,العربية,தமிழ்,Английский,ไทย,Dutch,हिन्दी,İngilizce
,Pause ,Jeda,暂停 ,暫停,ポーズ,일시정지,Pausa,Pausa,Pause,Pause,Tạm Dừng,Pausar,I-pause,إيقاف مؤقت,இடைநிறுத்தம்,Пауза,หยุดชั่วคราว,Pauze,रुकें।,Duraklat
,Music,Musik,音乐,音樂,音楽,음악,Musica,Música,Musique,Musik,Âm nhạc ,Música,Musika,موسيقى,இசை,Музыка,ดนตรี,Muziek,संगीत,Müzik
,Sound,Suara,声音,聲音,音,소리,Suoni,Sonido,Son,Ton,Âm thanh ,Som,Tunog,صوت,ஒலி.,Звук,เสียง,Geluid,ध्वनि,Ses
,Vibration,Getaran,振动,振動,バイブレーション,진동,Vibrazione,Vibración,Vibration,Vibration,Rung ,Vibração,Pagyanig,الاهتزاز,அதிர்வு,Вибрация,การสั่นสะเทือน,Trilling,कंपन,Titreşim
Settings1.Retry,Retry,Coba lagi,重试,重試,リトライ,다시 시도,Riprova,Reintentar,Réessayer,Wiederholen,Chơi Lại,Tentar,Ulitin,إعادة,மீண்டும்,Попробовать снова,ลองอีกครั้ง,Opnieuw proberen,फिर से,Yeniden Deneyin
Settings1.BackToHome,Back to home,Kembali ke beranda,返回主页,返回主頁,ホームに戻る,홈으로 돌아가기,Torna alla Home,Volver a inicio,Retour à l'accueil,Zurück zur Startseite,Quay Về Trang Chủ,Voltar à página inicial,Bumalik sa bahay,العودة إلى الصفحة الرئيسية,முகப்பு,Вернуться на главную,กลับบ้าน,Terug naar huis,घर पर जाएँ,Ana Sayfaya Dön
Settings2.Music,Background Music,Latar Musik,背景音乐,背景音樂,背景音楽,배경 음악,Musica di sottofondo,Música de fondo,Musique de fond,Hintergrundmusik,Nhạc nền,Música de fundo,Musika sa Likuran,موسيقى خلفية,பின்னணி இசை,Фоновая музыка,เพลงประกอบ,Achtergrondmuziek,पार्श्व संगीत,Arka Plan Müziği
Settings2.Sound,Sound Effect ,Efek Suara,音效,音效,効果音,사운드 효과,Effetto sonoro ,Efectos de sonido,Effet sonore,Soundeffekte,Hiệu ứng âm thanh ,Efeito sonoro,Epekto ng Tunog,تأثير صوتي,ஒலி விளைவு,Звуковой эффект,เอฟเฟกต์เสียง,Geluidseffect,ध्वनि प्रभाव,Ses Efekti
Settings2.Vibration,Vibration,Getaran,振动,振動,バイブレーション,진동,Vibrazione,Vibración,Vibration,Vibration,Rung ,Vibração,Panginginig,اهتزاز,அதிர்வு,Вибрация,การสั่นสะเทือน,Trilling,कंपन,Titreşim
Settings2.Visual Effect,Visual Effect,Efek visual,视觉效果,視覺效果,VFX,시각 효과,Effetti Visivi,Efectos visuales,Effet visuel,Visuelle Effekte,Hiệu Ứng Hình Ảnh,Efeito visual,Visual Effect,تأثير بصري,காட்சி விளைவு,Визуальный эффект,เทคนิคพิเศษ,Visueel effect,दृश्य प्रभाव,Görsel Efekt
Setting2.Lang,English,Bahasa Indonesia,中文（简体）,中文（繁體）,日本語,한국어,Italiano,Español,Français,Deutsch,Tiếng Việt,Português,Tagalog,الألمانية,தமிழ்,Русский,ไทย,Dutch,हिन्दी,Türkçe
Setting2.Language,Language,Bahasa,语言,語言,言語,언어,Lingua,Idioma,Langue,Sprache,Ngôn ngữ,Idioma,Wika,العربية,மொழி.,Язык,ภาษา,Taal,भाषा,Dil
Settings2.Sign In,Sign In,Masuk,登录,登入,サインイン,로그인,Accedi,Iniciar sesión,Se connecter,Anmelden,Đăng Nhập,Entrar,Mag-sign In,تسجيل الدخول,உள்நுழைக,Войти,ลงชื่อเข้าใช้,Aanmelden,साइन इन करें,Giriş Yap
Settings2.Save your progress,Save your progress,Simpan progres Anda,保存你的进度,儲存你的進度,進行状況をセーブ,진행 상황 저장,Salva i progressi,Guardar tu progreso,Sauvegarder votre progression,Spielstand speichern,Lưu Tiến Trình Của Bạn,Salvar o seu progresso,I-save ang iyong progreso,حفظ تقدمك,உங்கள் முன்னேற்றத்தை சேமிக்கவும்,Сохранить ваш прогресс,บันทึกความคืบหน้าของคุณ,Sla je voortgang op,अपनी प्रगति को बचाएँ,İlerlemeyi Bulutta Kaydet
Settings2.Sign Out,Sign Out ,Keluar ,退出,退出,サインアウト,로그아웃,Disconnetti,Cerrar sesión ,Se déconnecter,Abmelden ,Đăng xuất ,Sair,Lumabas sa account,تسجيل الخروج ,வெளியேறு,Выйти,ออกจากบัญชี,Afmelden,साइन आउट,Çıkış Yap
Settings2.Your progress is saved,Your progress is saved,Progres Anda telah disimpan,您的进度已保存,您的進度已保存,進行状況は保存されました,진행 상황이 저장되었습니다,I tuoi progressi sono stati salvati,Tu progreso se ha guardado,Votre progression est sauvegardée,Ihr Fortschritt wird gespeichert.,Tiến trình của bạn đã được lưu,O seu progresso foi guardado,Nasave na ang progreso mo,تم حفظ تقدمك,உங்கள் முன்னேற்றம் சேமிக்கப்பட்டது,Ваш прогресс сохранен,ความคืบหน้าของคุณถูกบันทึกแล้ว,Je voortgang is opgeslagen,आपकी प्रगति सहेज ली गई है,İlerlemeniz kaydedildi
Settings2.Contact Us,Contact Us,Hubungi Kami,联系我们,聯繫我們,お問い合わせ,문의하기,Contattaci,Contáctanos,Contactez-nous,Kontakt,Liên Hệ Chúng Tôi,Contacte-nos,Makipag-ugnayan sa Amin,اتصل بنا,எங்களை தொடர்பு கொள்ளவும்,Свяжитесь с нами,ติดต่อเรา,Contact opnemen,हमसे संपर्क करें,Bize Ulaşın
Settings2.About,About,Tentang,关于,關於,アバウト,정보,Informazioni,Acerca de,À propos,Über uns,Giới Thiệu,SOBRE,Tungkol sa Amin,حول,பற்றி,О нас,เกี่ยวกับ,Over,के बारे में,Hakkında
Settings2.Delete.Account,Delete account,Hapus akun,删除帐户,刪除帳戶,アカウント削除,계정 삭제,Elimina Account,Eliminar cuenta,Supprimer le compte,Konto löschen,Xóa Tài Khoản,SUPER BOLTS PUZZLE,Tanggalin ang Account,حذف الحساب,கணக்கை நீக்கு,Удалить аккаунт,ลบบัญชี,Account verwijderen,खाता हटाएँ,Hesabı Sil
Settings2.Share,Share to friends ,Bagikan ke teman-teman ,分享给朋友,分享給朋友,友達と共有,친구와 공유하기,Condividi con gli amici,Compartir con amigos ,Partager avec des amis,An Freunde weiterleiten ,Chia sẻ với bạn bè,Versão,Ibahagi sa mga kaibigan,مشاركة مع الأصدقاء,நண்பர்களுடன் பகிர்ந்து கொள்ளுங்கள்,Поделиться с друзьями,แชร์ให้เพื่อน,Deel met vrienden,दोस्तों को शेयर करें,Arkadaşlarla Paylaş
,,,,,,,,,,,,,,,,,,,,
