Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Tutorial.Unscrew,Tap To Unscrew,Ketuk untuk Membuka Sekrup,点击拧开螺丝,,タップしてネジを外す,탭하여 나사를 푸세요,Tocca per svitare,Toca para desatornillar,Appuie pour dévisser,Tippen zum Abschrauben,Nhấn để tháo vít,Toque para desparafusar,Tapikin para tanggalin ang turnilyo,,,,,,,
Tutorial.Place,Tap To Place Screw!,Ketuk untuk Menempatkan Sekrup!,点击放置螺丝！,,タップしてネジを取り付けよう！,탭하여 나사를 끼우세요!,Tocca per inserire la vite!,¡Toca para colocar el tornillo!,Appuie pour placer la vis !,"Tippe, um die Schraube zu setzen!",Nhấn để đặt ốc vít!,Toque para colocar o parafuso!,Tapikin para ilagay ang turnilyo!,,,,,,,
Tutorial.Booster,New Booster,Booster Baru,新增加器,,新しいブースタ,새로운 부스터,Nuovo Potenziatore,Nuevo Potenciador,Nouveau Booster,Neuer Booster,Tăng cường mới,Novo Impulsionador,Bagong Pampalakas,,,,,,,
Tutorial.DestroyPlank,Remove a 2 random plank from the board,Hapus 2 kayu acak dari papan permainan,从板上移除2块随机木板,,ボードからランダムな板を2枚取り除こう,보드에서 무작위 판자 2개를 제거하세요,Rimuovi 2 assi casuali dalla tavola,Elimina 2 tablas aleatorias del tablero,Supprime 2 planches aléatoires du plateau,Entferne 2 zufällige Bretter vom Spielfeld,Loại bỏ 2 tấm ván ngẫu nhiên khỏi bảng,Remova 2 tábuas aleatórias do tabuleiro,Alisin ang 2 random na tabla mula sa board,,,,,,,
Tutorial.Remove,Use this booster to Remove a plank from the board,Gunakan booster ini untuk menghapus satu kayu dari papan permainan,使用这个增益道具从板上移除一块木板,,このブースターを使って、ボードから板を1枚取り除こう,이 부스터를 사용하여 보드에서 판자 하나를 제거하세요,Usa questo potenziatore per rimuovere un’asse dalla tavola,Usa este potenciador para eliminar una tabla del tablero,Utilise ce booster pour retirer une planche du plateau,"Verwende diesen Booster, um ein Brett vom Spielfeld zu entfernen",Sử dụng tăng cường này để loại bỏ một tấm ván khỏi bảng,Use este impulsionador para remover uma tábua do tabuleiro,Gamitin ang booster na ito para alisin ang isang tabla mula sa board,,,,,,,
Tutorial.Undo,Undo your move,Batalkan langkahmu,撤销你的移动,,動きを取り消す,이동을 되돌리기,Annulla la tua mossa,Deshaz tu movimiento,Annule ton mouvement,Mache deinen Zug rückgängig,Hoàn tác lượt di chuyển của bạn,Desfaça seu movimento,I-undo ang galaw mo,,,,,,,
Tutorial.TakeOut,Take out a screw without moving it,Keluarkan sekrup tanpa memindahkannya,取出螺丝但不要移动它,,ネジを動かさずに取り外そう,나사를 움직이지 않고 빼세요,Rimuovi una vite senza spostarla,Saca un tornillo sin moverlo,Retire une vis sans la bouger,"Entferne eine Schraube, ohne sie zu bewegen",Tháo vít mà không di chuyển nó,Retire um parafuso sem movê-lo,Tanggalin ang turnilyo nang hindi ito ginagalaw,,,,,,,
Tutorial.RemoveScrew,Use this booster to Remove a screw,Gunakan booster ini untuk menghapus satu sekrup,使用这个增益道具来移除一个螺丝,,このブースターを使ってネジを1つ外そう,이 부스터를 사용하여 나사 하나를 제거하세요,Usa questo potenziatore per rimuovere una vite,Usa este potenciador para quitar un tornillo,Utilise ce booster pour retirer une vis,"Verwende diesen Booster, um eine Schraube zu entfernen",Sử dụng tăng cường này để tháo một con vít,Use este impulsionador para remover um parafuso,Gamitin ang booster na ito para tanggalin ang isang turnilyo,,,,,,,
Tutorial.Freeze,Freeze the timer for 15 second,Bekukan timer selama 15 detik,冻结计时器15秒,,タイマーを15秒間止める,타이머를 15초 동안 멈추세요,Blocca il timer per 15 secondi,Congela el temporizador durante 15 segundos,Fige le minuteur pendant 15 secondes,Friere den Timer für 15 Sekunden ein,Đóng băng đồng hồ đếm ngược trong 15 giây,Congele o cronômetro por 15 segun,I-freeze ang timer sa loob ng 15 segundo,,,,,,,
Tutorial.BoosterFreeze,Use this booster to freeze the timer,Gunakan booster ini untuk membekukan timer,使用这个增益道具来冻结计时器,,このブースターを使ってタイマーを止めよう,이 부스터를 사용하여 타이머를 멈추세요,Usa questo potenziatore per bloccare il timer,Usa este potenciador para congelar el temporizador,Utilise ce booster pour figer le minuteur,"Verwende diesen Booster, um den Timer einzufrieren",Sử dụng tăng cường này để đóng băng đồng hồ hẹn giờ,Use este impulsionador para congelar o cronômetro,Usa este potenciador para congelar el temporizador,,,,,,,
Tutorial.Continue,Tap to Continue,Ketuk untuk Melanjutkan,轻触继续,,タップして続行,계속하려면 탭하세요,Tocca per Continuare,Toca para Continuar,Appuyez pour continuer,Tippen zum Fortfahren,Nhấn để Tiếp Tục,Toque para Continuar,Tapikin para Magpatuloy,,,,,,,
Tutorial.TapScrew,Tap on the screw to remove it!,Ketuk sekrup untuk melepasnya!,点击螺丝将其移除！,,ネジをタップして取り外そう！,나사를 탭해서 제거하세요!,Tocca la vite per rimuoverla!,Toca el tornillo para quitarlo!,Appuie sur la vis pour l’enlever !,"Tippe auf die Schraube, um sie zu entfernen!",Nhấn vào ốc vít để tháo nó ra!,Toque no parafuso para removê-lo!,Tapikin ang turnilyo para alisin ito!,,,,,,,
Tutorial.Core1,Welcome to Super Bolts Puzzle!,Selamat datang di Super Bolts Puzzle!,欢迎来到螺丝拼拼乐,歡迎來到螺絲拼拼樂,『スーパー・ボルツ・パズル 』へようこそ！,슈퍼 볼츠 퍼즐에 오신 것을 환영합니다!,Benvenuto in Super Bolts Puzzle!,¡Bienvenido a Super Bolts Puzzle!,Bienvenue dans Super Bolts Puzzle !,Willkommen bei Super Bolts Puzzle!,Chào mừng đến với Super Bolts Puzzle!,Bem-vindo ao Super Bolts Puzzle!,Maligayang pagdating sa Super Bolts Puzzle!,مرحبًا بك في لغز البراغي الخارقة!,நண்பர்களே வருக! சூப்பர் போல்ட்ஸ் புதிர் உருவாக்கப்பட்டது—உங்கள் மூளைக்கு சிறிது உடற்பயிற்சி செய்து கொண்டே வேடிக்கை பார்ப்பதற்காக.,Добро пожаловать в Super Bolts Puzzle!,ยินดีต้อนรับสู่เกมปริศนา Super Bolts!,Welkom bij Supper Bliksem Puzzel!,सुपर बोल्ट्स पज़ल में आपका स्वागत है!,Super Bolts Puzzle'a hoş geldiniz!
Tutorial.Core2,Tap to remove a screw.,Ketuk untuk melepas sekrup.,点一下螺丝就能拧开,點一下螺絲就能擰開,螺子をタップして外そう！,탭하여 나사를 제거하세요.,Tocca per rimuovere una vite.,Toca para quitar un tornillo.,Appuyez pour enlever une vis.,"Tippen Sie, um eine Schraube zu entfernen.",Chạm để tháo một con ốc.,Toque para remover um parafuso.,Pindutin para tanggalin ang isang tornilyo.,اضغط لإزالة المسمار.,அவிழ்க்க தட்டவும்,"Нажмите, чтобы удалить винт.",แตะเพื่อถอดสกรู,Tik om een schroef te verwijderen.,पेंच हटाने के लिए टैप करें।,Bir vida çıkarmak için dokunun.
Tutorial.SkillUnscrew1,Pop out a screw,Hapus Sekrup,拆掉螺丝！,拆掉螺絲,螺子を外す!,나사를 뽑아내세요,Svita una vite,Saca un tornillo.,Faites sortir une vis,Eine Schraube herausdrehen,Bật ra một con ốc,Retire um parafuso,Alisin ang isang tornilyo,فك برغي,"அந்த திருகுவை அகற்ற இந்த திறமையை முயற்சிக்கவும்.
இது மிகவும் எளிதானது!",Вытащите винт,ขันสกรูออก,Wip een schroef eruit.,एक पेंच निकालें,Bir vida çıkar
Tutorial.SkillUnscrew2,First skill unlocked: Unscrew!,Skill pertama yang dibuka: Hapus Sekrup!,解锁第一个能力：拆掉螺丝！,解鎖第一個能力：拆掉螺絲！,最初のスキル解放：螺子を外す!,첫 번째 스킬 해금: 나사 풀기!,Prima abilità sbloccata: Svita!,Primera habilidad desbloqueada: ¡Desatornillar!,Première compétence débloquée : Dévisser !,Erste freigeschaltete Fähigkeit: Herausdrehen!,Kỹ năng đầu tiên đã mở khóa: Tháo Ốc!,Primeira habilidade desbloqueada: Desaparafusar!,Unang kasanayang na-unlock: Buksan ang turnilyo!,المهارة الأولى غير مقفلة: فك البراغي,உங்கள் முதல் திறமை திருகு அவிழ்க்கும் திறன்.,Первая разблокированная способность: Отвинчивание!,ทักษะแรกที่ปลดล็อก: คลายเกลียว!,Eerste vaardigheid ontgrendeld: Losschroeven!,पहला कौशल अनलॉक: अनस्क्रू!,İlk beceri açıldı: Vida Sökme!
Tutorial.SkillUnscrew3,Use Unscrew to take off one screw.,Gunakan Hapus Sekrup untuk hapus satu sekrup.,使用“拆掉螺丝”来拆掉一个螺丝,"使用 ""拆掉螺絲"" 來拆掉一個螺絲",「螺子を外す」を使ってネジを1本外そう！,나사 풀기를 사용하여 나사 하나를 제거하세요.,Usa Svita per togliere una vite.,Usa Desatornillar para quitar un tornillo.,Utilisez Dévisser pour enlever une vis.,"Verwenden Sie „Herausdrehen“, um eine Schraube zu entfernen.",Dùng Tháo Ốc để gỡ một con ốc.,Use Desaparafusar para retirar um parafuso.,Gamitin ang Unscrew para tanggalin ang isang tornilyo.,استخدم فك البراغي لفك برغي واحد.,திருகுவை அவிழ்ப்போம்!,"Используйте Отвинчивание, чтобы снять один винт.",ใช้ไขสกรูเพื่อถอดสกรูตัวหนึ่งออก,Gebruik Losschroeven om één schroef los te maken.,एक पेंच हटाने के लिए अनस्क्रू का इस्तेमाल करें।,Vida Sökme kullanarak bir vida çıkarın.
Tutorial.Shop1,The shop is open!,Toko sudah buka!,商店开门了,商店開門了,お店がオープンしたよ！,상점이 열렸습니다!,Il negozio è aperto!,¡La tienda está abierta!,La boutique est ouverte !,Der Shop ist geöffnet!,Cửa Hàng đã mở!,A loja está aberta!,Bukas na ang tindahan!,المتجر مفتوح!,பலகையில் உள்ள போல்ட்டை அகற்ற இந்த திறமையைப் பயன்படுத்தவும்.,Магазин открыт!,ร้านเปิดแล้ว!,De winkel is open!,दुकान खुल गई है!,Mağaza açıldı!
