Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
DQ.Header,Daily Quest,Misi Harian,每日任务,每日任務,デイリークエスト,일일 퀘스트,Missione Giornaliera,Misión diaria,Quête quotidienne,Tägliche Quest,Nhiệm vụ hàng ngày,Missão diária,Araw-araw na Quest,المهمة اليومية,தினசரி குயஸ்ட்,Ежедневная задача,เควสรายวัน,Dagelijkse Quest,दैनिक क्वेस्ट,Günlük Görev
DQ.Claim,Claim,Klaim,领取,領取,受け取る,수령,Riscatta,Reclamar,Réclamer,Anfordern,Nhận,Reivindicar,I-claim,المطالبة,உரிமைகோரல்,Получить,รับ,Ophalen,प्राप्त करें,Talep Et
DQ.Claimed,Claimed,Sudah diklaim,已领取,已領取,受け取り済み,수령 완료,Riscattato,Reclamado,Réclamé,Angefordert,Đã nhận,Reivindicado,Naklaim na,تمت المطالبة,ஏற்கனவே கோரப்பட்டது,Получено,รับแล้ว,Opgehaald,प्राप्त किया गया,Talep Edildi
DQ.Go,Go,Mulai,出发,出發,行け,시작,Vai,Ir,Aller,Los,Đi,Ir,Punta,انطلق,தொடங்கு,Перейти,ไป,Ga,जाएं,Git
DQ.Task1,Use the Freeze skill once,Gunakan skill Beku sekali,使用冻结能力一次,使用凍結能力一次,フリーズスキルを一回使う,얼리기 스킬 1회 사용,Usa l’abilità Ghiaccio una volta,Usa la habilidad Congelar una vez.,Utiliser la compétence Gel une fois,Verwende einmal die Fähigkeit „Einfrieren“,Sử dụng kỹ năng Đóng Băng một lần,Use a habilidade Congelar uma vez,Gamitin ang freeze skill minsan,استخدم مهارة التجميد مرة واحدة,ஃப்ரீஸ் திறனை ஒரு முறை பயன்படுத்தவும்,Использовать умение Заморозка один раз,ใช้ทักษะแช่แข็งหนึ่งครั้ง,Gebruik de Bevries-vaardigheid één keer,फ्रीज़ कौशल एक बार उपयोग करें,Buz becerisini bir kez kullan
DQ.Task2,Use the Lightning skill once,Gunakan skill PETIR sekali,使用闪电能力一次,使用閃電能力一次,雷スキルを一回使う,번개 스킬 1회 사용,Usa l’abilità Fulmine una volta,Usa la habilidad Rayo una vez.,Utiliser la compétence Éclair une fois,Verwende einmal die Fähigkeit „Blitz“,Sử dụng kỹ năng Sấm Sét một lần,Use a habilidade Relâmpago uma vez,Gamitin ang lightning skill minsan,استخدم مهارة البرق مرة واحدة,லைட்னிங் திறனை ஒரு முறை பயன்படுத்தவும்,Использовать умение Молния один раз,ใช้ทักษะสายฟ้าหนึ่งครั้ง,Gebruik de Bliksem-skill één keer,बिजली कौशल एक बार उपयोग करें,Yıldırım becerisini bir kez kullan
DQ.Task3,Use the Undo skill once,Gunakan skill Batalkan sekali,使用撤销能力一次,使用撤銷能力一次,アンドゥスキルを一回使う,되돌리기 스킬 1회 사용,Usa l’abilità Annulla una volta,Usa la habilidad Deshacer una vez.,Utiliser la compétence Annuler une fois,Verwende einmal die Fähigkeit „Rückgängig machen“,Sử dụng kỹ năng Sấm Sét một lần,Use a habilidade Desfazer uma vez,Gamitin ang undo skill minsan,استخدم مهارة التراجع مرة واحدة,செயல்தவிர் திறனை ஒரு முறை பயன்படுத்தவும்,Использовать умение Отмена один раз,ใช้ทักษะเลิกทำหนึ่งครั้ง,Gebruik de Ongedaan-maak-skill één keer,वापसी कौशल एक बार प्रयोग करें,Geri al becerisini bir kez kullan
DQ.Task4,Use the Unscrew skill once,Gunakan skill Hapus Sekrup sekali,使用删除能力一次,使用刪除能力一次,螺子外しスキルを一回使う,풀기 스킬 1회 사용,Usa l’abilità Svita una volta,Usa la habilidad Desatornillar una vez.,Utiliser la compétence Dévisser une fois,Verwende einmal die Fähigkeit „Aufschrauben“,Sử dụng kỹ năng Tháo Vít một lần,Use a habilidade Desaparafusar uma vez,Gamitin ang unscrew skill minsan,استخدم مهارة فك البراغي مرة واحدة,ஸ்க்ரூ அகற்றும் திறனை ஒரு முறை பயன்படுத்தவும்,Использовать умение Отвинчивание один раз,ใช้ทักษะคลายเกลียวหนึ่งครั้ง,Gebruik de Losdraaien-skill één keer,पेंच हटाने वाला कौशल एक बार उपयोग करें,Vida sökme becerisini bir kez kullan
DQ.Task5,Collect 3 planks with color Lime Green,Kumpulkan 3 plank berwarna Hijau Limau,收集 3 块青柠绿木板,收集 3 塊青檸綠木板,ライムグリーンのプランクを3枚集める,라임 그린 색상 널빤지 3개 수집,Raccogli 3 assi di colore Verde Lime,Recoge 3 tablones de color verde lima.,Collecter 3 planches de couleur Vert Lime,Sammle 3 Bretter in der Farbe Limettengrün,Thu thập 3 tấm ván màu Xanh Lục Nhạt,Colete 3 tábuas com a cor Verde-limão,Kolektahin ang 3 lime green planks,اجمع 3 ألواح باللون الأخضر الليموني,3 சுண்ணாம்பு பச்சை பலகைகளை சேகரிக்கவும்,Собрать 3 доски цвета Лайм,เก็บไม้กระดานสีเขียวมะนาว 3 แผ่น,Verzamel 3 planken in de kleur Limegroen,लाइम ग्रीन रंग के 3 तख्ते एकत्र करें,Lime Yeşili renkli 3 tahta topla
DQ.Task6,Collect 5 planks with color Red,Kumpulkan 5 plank berwarna Merah,收集 5 块红色木板,收集 5 塊紅色木板,レッドのプランクを5枚集める,레드 색상 널빤지 5개 수집,Raccogli 5 assi di colore Rosso,Recoge 5 tablones de color rojo.,Collecter 5 planches de couleur Rouge,Sammle 5 Bretter in der Farbe Rot,Thu thập 5 tấm ván màu Đỏ,Colete 5 tábuas com a cor Vermelho,Kumuha ng 5 piraso ng tabla na kulay Pula,اجمع 5 ألواح باللون الأحمر,5 சிவப்பு பலகைகளை சேகரிக்கவும்,Собрать 5 досок цвета Красный,เก็บไม้กระดานสีแดง 5 แผ่น,Verzamel 5 rode planken,लाल रंग के 5 तख्ते एकत्र करें,Kırmızı renkli 5 tahta topla
DQ.Task7,Collect 5 planks with color Orange,Kumpulkan 5 plank berwarna Oranye,收集 5 块橙色木板,收集 5 塊橙色木板,オレンジのプランクを5枚集める,오렌지 색상 널빤지 5개 수집,Raccogli 5 assi di colore Arancione,Recoge 5 tablones de color naranja.,Collecter 5 planches de couleur Orange,Sammle 5 Bretter in der Farbe Orange,Thu thập 5 tấm ván màu Cam,Colete 5 tábuas com a cor Laranja,Kumuha ng 5 piraso ng tabla na kulay Orange,اجمع 5 ألواح باللون البرتقالي,5 ஆரஞ்சு பலகைகளை சேகரிக்கவும்,Собрать 5 досок цвета Оранжевый,เก็บไม้กระดานสีส้ม 5 แผ่น,Verzamel 5 oranje planken,नारंगी रंग के 5 तख्ते एकत्र करें,Turuncu renkli 5 tahta topla
DQ.Task8,Collect 7 planks with color Green,Kumpulkan 7 plank berwarna Hijau,收集 7 块绿色木板,收集 7 塊綠色木板,グリーンのプランクを7枚集める,그린 색상 널빤지 7개 수집,Raccogli 7 assi di colore Verde,Recoge 7 tablones de color verde.,Collecter 7 planches de couleur Verte,Sammle 7 Bretter in der Farbe Grün,Thu thập 7 tấm ván màu Xanh Lá,Colete 7 tábuas com a cor Verde,Kumuha ng 7 piraso ng tabla na kulay Berde,اجمع 7 ألواح باللون الأخضر,7 பச்சை பலகைகளை சேகரிக்கவும்,Собрать 7 досок цвета Зеленый,เก็บไม้กระดานสีเขียว 7 แผ่น,Verzamel 7 groene planken,हरे रंग के 7 तख्ते एकत्र करें,Yeşil renkli 7 tahta topla
DQ.Task9,Complete 1 level,Selesaikan 1 level,完成1个等级,完成1個等級,レベルを1つクリア,1개 레벨 완료,Completa 1 livello,Completa 1 nivel.,Compléter 1 niveau,Schließe 1 Level ab,Hoàn thành 1 ải,Complete 1 nível,Kumpletuhin ang 1 antas,أكمل مستوى واحد,1 நிலையை முடிக்கவும்,Пройти 1 уровень,ทำด่านให้สำเร็จ 1 ด่าน,Voltooi 1 niveau,1 स्तर पूरा करें,1 seviyeyi tamamla
DQ.Task10,Share your victory once,Bagikan kemenanganmu sekali,分享一次你的胜利,分享一次你的勝利,勝利を1回シェアする,승리 공유 1회,Condividi la tua vittoria una volta,Comparte tu victoria una vez.,Partager votre victoire une fois,Teile deinen Sieg einmal,Chia sẻ chiến thắng của ngươi 1 lần,Compartilhe sua vitória uma vez,Ibahagi mo minsan ang iyong tagumpay,شارك انتصارك مرة واحدة,உங்கள் வெற்றிகளை ஒரு முறை பகிரவும்,Поделиться победой один раз,แบ่งปันชัยชนะของคุณสักครั้ง,Deel je overwinning één keer,अपनी जीत एक बार साझा करें,Zaferini bir kez paylaş
DQ.Task11,Claim 1 daily login reward,Klaim 1 hadiah login harian,领取 1 份每日登录的奖励,領取 1 份每日登入的獎勵,デイリーログイン報酬を1回受け取る,일일 로그인 보상 1회 수령,Ritira 1 ricompensa di accesso giornaliero,Reclama 1 recompensa diaria por iniciar sesión.,Réclamer 1 récompense de connexion quotidienne,Fordere 1 tägliche Anmeldebelohnung an,Nhận 1 phần thưởng đăng nhập hàng ngày,Reivindique 1 recompensa de login diário,I-claim ang 1 arawang gantimpala sa pag-login,احصل على مكافأة تسجيل الدخول اليومية,தினசரி 1 உள்நுழைவு வெகுமதியைப் பெறவும்,Получить 1 ежедневную награду за вход,รับรางวัลล็อกอินรายวัน 1 ครั้ง,Claim 1 dagelijkse inlogbeloning,1 दैनिक लॉगिन इनाम प्राप्त करें,1 günlük giriş ödülünü talep et
