Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Panel.RatingTitle,Rate Us,Rating Kami,评价我们,評價我們,評価,평가하기,Valutaci,Valóranos,Évaluez-nous,Bewerten Sie uns,Đánh giá chúng tôi,Avalie-nos,I-rate kami,قيمنا,எங்களை மதிப்பிடுங்கள்,Оцените нас,ให้คะแนนเรา,Beoordeel ons,हमें रेट करें,Bizi Değerlendirin
Panel.RatingDescription,Thank you for your rating - It really helps us to create a better experience for you.,Terima kasih atas penilaian Anda - Ini benar-benar membantu kami untuk menciptakan pengalaman yang lebih baik untuk Anda.,感谢您的评分 - 这真的帮助我们为您创造更好的体验。,感謝您的評分 - 這真的幫助我們為您創造更好的體驗。,評価ありがとうございます。皆様により良い体験を提供するために大変参考になります。,평가해 주셔서 감사합니다 — 덕분에 더 나은 경험을 제공하는 데 큰 도움이 됩니다.,Grazie per la tua valutazione — ci aiuta davvero a offrirti un’esperienza di gioco migliore!,Gracias por tu calificación — realmente nos ayuda a crear una mejor experiencia para ti.,Merci pour votre évaluation - Cela nous aide vraiment à créer une meilleure expérience pour vous.,"Vielen Dank für deine Bewertung — sie hilft uns wirklich, ein besseres Erlebnis für dich zu schaffen.",Cảm ơn bạn đã đánh giá – Điều đó giúp chúng tôi tạo ra trải nghiệm tốt hơn cho bạn.,Obrigado pela sua avaliação — ela realmente nos ajuda a criar uma experiência melhor para você.,Salamat sa iyong rating — Malaking tulong ito upang makagawa kami ng mas magandang karanasan para sa iyo.,شكرًا لتقييمك — فهذا يساعدنا حقًا في تقديم تجربة أفضل لك.,உங்கள் மதிப்பீட்டுக்கு நன்றி — இது உங்களுக்காக இன்னும் சிறந்த அனுபவத்தை உருவாக்க எங்களுக்கு உண்மையில் உதவுகிறது.,Спасибо за вашу оценку - Это действительно помогает нам создать лучший опыт для вас.,ขอบคุณสำหรับการให้คะแนน — สิ่งนี้ช่วยให้เราสร้างประสบการณ์ที่ดียิ่งขึ้นสำหรับคุณ,Bedankt voor je beoordeling – het helpt ons echt om een betere ervaring voor jou te creëren.,आपकी रेटिंग के लिए धन्यवाद — यह हमें आपके लिए बेहतर अनुभव बनाने में वास्तव में मदद करती है।,Değerlendirmeniz için teşekkür ederiz - Bu gerçekten sizin için daha iyi bir deneyim yaratmamıza yardımcı oluyor.
,Are you having fun?,Apakah Anda menikmati permainan ini?,你玩得开心吗？,你玩得開心嗎？,楽しんでる？,즐겁게 즐기고 계신가요?,Ti stai divertendo?,¿Te estás divirtiendo?,Vous amusez-vous ?,Haben Sie Spaß?,Ngươi có đang vui không?,Está a gostar?,Nagi-enjoy ka ba?,هل تستمتع باللعب؟,உங்களுக்கு விளையாட்டு பிடித்ததா?,Вам весело?,คุณสนุกอยู่ไหม?,Heb je het naar je zin?,क्या आप मज़े कर रहे हैं?,Eğleniyor musunuz?
Panel.RAdsTitle,REMOVE ADS,HAPUS IKLAN,删除广告,刪除廣告,広告を削除,광고 제거하기,RIMUOVI PUBBLICITÀ,ELIMINAR ANUNCIOS,Supprimer les publicités,WERBUNG ENTFERNEN,XÓA QUẢNG CÁO,REMOVER ANÚNCIOS,Alisin ang ads,إزالة الإعلانات,விளம்பரத்தை நீக்கு,Убрать рекламу,ลบโฆษณา,VERWIJDEREN ADS ,विज्ञापन हटाएँ,Reklamları kaldır
Panel.RAdsBody,Let's play without ADS!,Mainkan tanpa iklan!,让我们玩无广告的游戏吧！,讓我們玩無廣告的遊戲吧！,広告なしで遊ぼう！,광고 없이 플레이하세요!,Giochiamo senza pubblicità!,¡Juguemos sin anuncios!,Jouons sans publicités !,Spielen wir ohne Werbung!,Chơi mà không cần xem quảng cáo!,Vamos jogar sem anúncios!,Maglaro tayo nang walang ads!,لنلعب بدون إعلانات!,விளம்பரமில்லாமல் விளையாடுவோம்!,Давайте играть без рекламы!,มาเล่นกันแบบไม่มีโฆษณา!,Laten we spelen zonder ADS!,चलो बिना विज्ञापन के खेलें!,Reklamsız oynayalım!
Panel.RAdSub,SUBSCRIBE,BERLANGGANAN,订阅,訂閱 ,購読,구독하기,ISCRIVITI,SUSCRÍBETE,S'ABONNER,ABONNIEREN,ĐĂNG KÝ,ASSINAR,Mag-subscribe,اشترك,சந்தாதாரராகுங்கள்,ПОДПИСАТЬСЯ,สมัคร,ABONNEREN,सदस्यता लें,ABONE OL
Panel2.RAdsTitle,REMOVE ADS,HAPUS IKLAN,删除广告,刪除廣告,広告を削除,광고 제거하기,RIMUOVI PUBBLICITÀ,ELIMINAR ANUNCIOS,SUPPRIMER LES PUBLICITÉS,WERBUNG ENTFERNEN,XÓA QUẢNG CÁO,REMOVER ANÚNCIOS,Alisin ang ads,إزالة الإعلانات,விளம்பரத்தை நீக்கு,УДАЛИТЬ РЕКЛАМУ,ลบโฆษณา,VERWIJDEREN ADS ,विज्ञापन हटाएँ,REKLAMLARI KALDIR
Panel2.RAdsDescription,Enjoy your game without interruptions,Nikmati permainan Anda tanpa gangguan,享受无广告的游戏体验！,享受無廣告的遊戲體驗！,中断なしでゲームを楽しもう,방해받지 않고 게임을 즐기세요,Goditi il gioco senza interruzioni,Disfruta del juego sin interrupciones,Profitez de votre jeu sans interruptions,Genießen Sie Ihr Spiel ohne Unterbrechungen,Chơi game mượt mà không bị gián đoạn,Aproveite o seu jogo sem interrupções,I-enjoy mo ang laro nang tuloy-tuloy,استمتع باللعب دون انقطاع,இடையூறு இல்லாமல் விளையாடுங்கள்,Наслаждайтесь игрой без перерывов,สนุกกับเกมได้อย่างต่อเนื่อง,Geniet van je spel zonder onderbrekingen,बिना रुकावट के खेल का आनंद लें,Oyununuza kesintisiz bir şekilde devam edin
Panel2.RAdsDescription2,One time payment. Ads will be completely remove during the select period. No auto-renewal,Pembayaran sekali saja. Iklan akan dihapus sepenuhnya selama periode yang dipilih. Tidak ada perpanjangan otomatis,一次性付款。广告将在所选期间内完全移除。不自动续订。,一次性付款。廣告將在所選期間內完全移除。不自動續訂。,一度の購入で、選択した期間中は広告が完全に削除されます。自動更新はありません。,일회성 결제. 선택한 기간 동안 광고가 완전히 제거됩니다. 자동 갱신 없음,Pagamento unico. Le pubblicità saranno completamente rimosse per il periodo selezionato. Nessun rinnovo automatico.,Pago único. Los anuncios se eliminarán por completo durante el período seleccionado. Sin renovación automática.,Paiement unique. Les publicités seront complètement supprimées pendant la période sélectionnée. Aucune reconduction automatique,Einmalige Zahlung. Die Werbung wird während des ausgewählten Zeitraums vollständig entfernt. Keine automatische Verlängerung,Thanh toán một lần. Quảng cáo sẽ hoàn toàn bị gỡ trong thời gian đã chọn. Không tự động gia hạn.,Pagamento único. Os anúncios serão completamente removidos durante o período selecionado. Sem renovação automática,One-time payment. Walang auto-renew. Mawawala ang ads sa napiling panahon.,دفعة واحدة. سيتم إزالة الإعلانات تمامًا خلال الفترة المحددة. لا يوجد تجديد تلقائي,ஒரே முறை கட்டணம். தேர்ந்தெடுத்த காலத்திற்கு விளம்பரங்கள் அகற்றப்படும். தானியங்கு புதுப்பிப்பு இல்லை.,Единовременная оплата. Реклама будет полностью удалена на выбранный период. Без авто-обновления,ชำระครั้งเดียว ไม่มีต่ออายุ โฆษณาจะถูกลบในช่วงเวลาที่เลือก,Eenmalige betaling. Reclames worden gedurende de geselecteerde periode volledig verwijderd. Geen automatische verlenging.,एक बार भुगतान। चुने गए समय के दौरान विज्ञापन पूरी तरह हट जाएंगे। ऑटो-नवीनीकरण नहीं।,"Tek seferlik ödeme. Reklamlar, seçilen süre boyunca tamamen kaldırılacaktır. Otomatik yenileme yok"
Panel2.RAdsMonth,Month ,Bulan,月,月,月,월,Mese ,Mes,Mois,Monat,Tháng ,Mês,Buwan,شهر,மாதம்,Месяц,เดือน,Maand ,माह,Ay
